Name,X,Y,Z,DeltaX,DeltaY,DeltaZ,Alpha,Kuant
R1,0.2280513,0.4286445,1.48172,0.008765742,-0.002328902,0.001227856,345.1212544,8
R1,0.2368438,0.4271892,1.482064,0.008792505,-0.001455337,0.000344157,350.6016032,8
R1,0.2463868,0.4246745,1.482784,0.009543002,-0.00251466,0.000720024,345.2376637,8
R1,0.3173299,0.3856687,1.492389,0.07094304,-0.03900582,0.009604812,331.1971759,8
R1,0.3262574,0.3790882,1.492512,0.008927524,-0.006580532,0.000122786,323.6058478,8
R1,0.333924,0.3687677,1.491741,0.007666588,-0.01032043,-0.000770807,306.6070135,7
R1,0.3582526,0.170978,1.489867,0.02432859,-0.1977897,-0.001873851,277.0122905,7
R1,0.3536916,0.1633826,1.489821,-0.004560947,-0.00759542,-4.58E-05,239.0157529,6
R1,0.3537111,0.1575555,1.489981,1.95E-05,-0.005827099,0.000159264,270.1919376,7
R1,0.3530507,0.1538376,1.490246,-0.00066039,-0.003717899,0.000265598,259.9279191,6
R1,0.3568172,0.151628,1.489338,0.003766477,-0.002209663,-0.000908136,329.601312,8
R1,0.3575841,0.1506468,1.490625,0.000766873,-0.000981167,0.001287222,308.0109393,7
R1,0.3577166,0.1510088,1.491489,0.000132471,0.000361964,0.000864029,69.89842962,2
R2,-0.0128243,0.3173129,1.411134,0.003695342,0.007781357,0.000313401,64.59710373,2
R2,-0.008140448,0.3216762,1.412126,0.004683853,0.004363269,0.000992417,42.97057804,1
R2,-0.003829513,0.3270736,1.413818,0.004310935,0.005397409,0.001691461,51.3854796,2
R2,0.001728997,0.331576,1.415578,0.005558511,0.004502356,0.001760006,39.0072366,1
R2,0.006144391,0.3353626,1.416769,0.004415394,0.003786594,0.001191258,40.61603224,1
R2,0.01369442,0.342437,1.416786,0.00755003,0.007074445,1.72E-05,43.13740912,1
R2,0.06149361,0.3829617,1.414025,0.04779918,0.04052472,-0.002761364,40.29167929,1
R2,0.1188309,0.4239084,1.424134,0.05733731,0.04094669,0.01010883,35.5320323,1
R2,0.1352331,0.4308064,1.42933,0.01640222,0.006897956,0.005196214,22.80919492,1
R2,0.1445978,0.4379858,1.43144,0.009364665,0.007179439,0.002110362,37.47564972,1
R2,0.1561795,0.4417831,1.432322,0.01158175,0.003797263,0.000881672,18.15256258,1
R2,0.1795512,0.4507477,1.437586,0.02337167,0.008964598,0.005264401,20.98515821,1
R2,0.1914126,0.4517269,1.439772,0.01186138,0.000979215,0.002185345,4.719344823,1
R2,0.2034909,0.4536301,1.442685,0.0120783,0.001903176,0.002912998,8.954464224,1
R2,0.2779791,0.4541915,1.453683,0.07448821,0.000561446,0.01099801,0.431851927,1
R2,0.3506877,0.4109385,1.462809,0.07270861,-0.04325303,0.009126663,329.2523557,8
R2,0.3563621,0.4050226,1.462133,0.005674362,-0.00591588,-0.000676036,313.8062407,7
R2,0.3641946,0.3975889,1.463108,0.007832527,-0.007433712,0.000974417,316.4964537,8
R2,0.3735125,0.3897038,1.464479,0.009317935,-0.007885098,0.001371026,319.761164,8
R2,0.3809469,0.380545,1.465409,0.007434368,-0.009158731,0.000929952,309.0670907,7
R2,0.3882283,0.3730139,1.467355,0.007281393,-0.007531196,0.001946568,314.033842,8
R2,0.3944629,0.3626277,1.469067,0.006234616,-0.01038611,0.001711369,300.9757211,7
R2,0.3976049,0.3512653,1.470679,0.003141969,-0.01136243,0.001612425,285.4573261,7
R2,0.4032117,0.343243,1.472544,0.0056068,-0.008022308,0.00186491,304.9497423,7
R2,0.4078699,0.3322846,1.475031,0.004658192,-0.01095843,0.002487183,293.0292971,7
R2,0.3687146,0.2951217,1.479271,-0.0391553,-0.03716284,0.004240036,223.504502,5
R2,0.3690972,0.2857561,1.480672,0.000382602,-0.009365618,0.001400232,272.339334,7
R2,0.3690194,0.2738016,1.481973,-7.78E-05,-0.01195449,0.001301527,269.6273427,7
R2,0.3717113,0.2630975,1.482652,0.002691895,-0.0107041,0.000678539,284.1161659,7
R2,0.4135099,0.266004,1.483497,0.04179859,0.002906501,0.000845313,3.977708629,1
R2,0.4173399,0.2552022,1.484003,0.003830016,-0.01080185,0.000506163,289.5229986,7
R2,0.4209593,0.2434174,1.485306,0.003619403,-0.01178473,0.0013026,287.0731102,7
R2,0.4278882,0.2304252,1.487237,0.006928831,-0.01299223,0.00193119,298.0712566,7
R2,0.4279587,0.2174981,1.487717,7.06E-05,-0.01292709,0.000480175,270.3127875,7
R2,0.4295709,0.2055439,1.488787,0.001612127,-0.0119542,0.00107038,277.6804925,7
R2,0.4298457,0.194126,1.488792,0.000274837,-0.01141797,4.41E-06,271.3788756,7
R2,0.4292654,0.184402,1.490231,-0.000580281,-0.009723991,0.001438975,266.5849135,6
R2,0.4295522,0.1787624,1.49065,0.000286788,-0.005639598,0.000419498,272.9111264,7
R2,0.4300042,0.1745252,1.490806,0.000452042,-0.00423719,0.000156164,276.0895264,7
R2,0.4302014,0.1718789,1.491567,0.000197172,-0.002646267,0.000760794,274.2612096,7
