Name,X,Y,Z,DeltaX,DeltaY,Alpha,Kuant
R1,0.3203466,0.2934975,1.419157,0.0004197,-0.0049217,274.8741294,7
R1,0.3215225,0.2875504,1.419721,0.0011759,-0.0059471,281.1846328,7
R2,-0.01823714,0.3928063,1.451042,-0.33975964,0.1052559,162.7872707,4
R2,-0.005727072,0.4042321,1.453437,0.012510068,0.0114258,42.40633847,1
R2,0.001177554,0.4110842,1.45413,0.006904626,0.0068521,44.78123403,2
R2,0.009909444,0.4190199,1.453876,0.00873189,0.0079357,42.26513095,1
R2,0.01793118,0.4229993,1.453864,0.008021736,0.0039794,26.38495936,1
R2,0.02583244,0.4299708,1.4536,0.00790126,0.0069715,41.42285018,1
R2,0.03378339,0.4335262,1.453517,0.00795095,0.0035554,24.09260298,1
R2,0.04190297,0.4354513,1.452746,0.00811958,0.0019251,13.33817169,1
R2,0.04985971,0.4418987,1.452324,0.00795674,0.0064474,39.01808297,1
R2,0.05763422,0.445852,1.452527,0.00777451,0.0039533,26.95311187,1
R2,0.06688142,0.4498483,1.452261,0.0092472,0.0039963,23.37222646,1
R2,0.07484031,0.4536648,1.453075,0.00795889,0.0038165,25.61896019,1
R2,0.08254042,0.4576013,1.452776,0.00770011,0.0039365,27.07732024,1
R2,0.08997478,0.4615209,1.453316,0.00743436,0.0039196,27.79943693,1
R2,0.09649359,0.4659695,1.455202,0.00651881,0.0044486,34.3106113,1
R2,0.1312205,0.4842589,1.460787,0.03472691,0.0182894,27.77414437,1
R2,0.1373106,0.4851825,1.46219,0.0060901,0.0009236,8.623535048,1
R2,0.1606768,0.4896574,1.465052,0.0233662,0.0044749,10.84153845,1
R2,0.1686982,0.490508,1.467009,0.0080214,0.0008506,6.053100274,1
R2,0.2223985,0.48512,1.4622,0.0537003,-0.005388,354.2704242,8
R2,0.2291949,0.484212,1.461103,0.0067964,-0.000908,352.3903372,8
R2,0.2798607,0.471156,1.453696,0.0506658,-0.013056,345.5499003,8
R2,0.2879452,0.4701104,1.45242,0.0080845,-0.0010456,352.6306209,8
R2,0.2950904,0.466691,1.449604,0.0071452,-0.0034194,334.4261331,8
R2,0.3039101,0.4639512,1.449152,0.0088197,-0.0027398,342.7428288,8
R2,0.3106336,0.4598043,1.448028,0.0067235,-0.0041469,328.3346701,8
R2,0.3177219,0.4553597,1.446537,0.0070883,-0.0044446,327.9109192,8
R2,0.3267925,0.4516003,1.445327,0.0090706,-0.0037594,337.4879537,8
R2,0.3340006,0.4470555,1.443688,0.0072081,-0.0045448,327.76804,8
R2,0.3486536,0.4327403,1.440782,0.014653,-0.0143152,315.6680994,8
R2,0.355033,0.427175,1.440174,0.0063794,-0.0055653,318.8990071,8
R2,0.368226,0.4063015,1.434835,0.013193,-0.0208735,302.2947459,7
R2,0.3652573,0.3248097,1.43488,-0.0029687,-0.0814918,267.9136699,6
R2,0.3668032,0.3187976,1.433938,0.0015459,-0.0060121,284.4201602,7
R2,0.3702196,0.3128466,1.433971,0.0034164,-0.005951,299.859633,7
R2,0.3740084,0.3059219,1.432488,0.0037888,-0.0069247,298.6849581,7
R2,0.3592336,0.2896619,1.43462,-0.0147748,-0.01626,227.7398539,6
R2,0.3599164,0.2823115,1.435305,0.0006828,-0.0073504,275.307141,7
R2,0.416207,0.2521106,1.43143,0.0562906,-0.0302009,331.785657,8
R2,0.3990561,0.2404449,1.433015,-0.0171509,-0.0116657,214.2227557,5
R3,0.0463335,0.2796079,1.370361,-0.3527226,0.039163,173.6643653,4
R3,0.04450773,0.2827334,1.371099,-0.00182577,0.0031255,120.291462,3
R3,0.04541842,0.2894707,1.369089,0.00091069,0.0067373,82.30191001,2
R3,0.04758123,0.2953973,1.367183,0.00216281,0.0059266,69.9513218,2
R3,0.04933862,0.2993913,1.36696,0.00175739,0.003994,66.25014495,2
R3,0.05008807,0.3072594,1.366161,0.00074945,0.0078681,84.55889477,2
R3,0.06972167,0.3476715,1.357262,0.0196336,0.0404121,64.08791054,2
R3,0.09802492,0.3940729,1.360364,0.02830325,0.0464014,58.61825244,2
R3,0.1026438,0.3956461,1.361687,0.00461888,0.0015732,18.8089481,1
R3,0.1072129,0.4007054,1.363667,0.0045691,0.0050593,47.91451975,2
R3,0.1138796,0.4035297,1.364989,0.0066667,0.0028243,22.95959884,1
R3,0.119124,0.4089849,1.366284,0.0052444,0.0054552,46.12867658,2
R3,0.1255956,0.4140096,1.368176,0.0064716,0.0050247,37.8265918,1
R3,0.1641402,0.4561751,1.374403,0.0385446,0.0421655,47.5687401,2
R3,0.174455,0.4626969,1.376552,0.0103148,0.0065218,32.30418327,1
R3,0.1803381,0.4674882,1.377715,0.0058831,0.0047913,39.15997649,1
R3,0.2147671,0.4936227,1.378631,0.034429,0.0261345,37.20154851,1
R3,0.2198005,0.493578,1.378846,0.0050334,-4.47E-05,359.4911881,8
R3,0.2265896,0.4965774,1.38042,0.0067891,0.0029994,23.83566948,1
R3,0.2332917,0.4984097,1.382646,0.0067021,0.0018323,15.2905579,1
R3,0.2408556,0.5013672,1.382705,0.0075639,0.0029575,21.35559759,1
R3,0.2735618,0.507413,1.386569,0.0327062,0.0060458,10.47300779,1
R3,0.2909742,0.5092626,1.389775,0.0174124,0.0018496,6.063401297,1
R3,0.3979754,0.4848825,1.395502,0.1070012,-0.0243801,347.1643499,8
R3,0.4053592,0.4815769,1.395262,0.0073838,-0.0033056,335.8827602,8
R3,0.4132722,0.4754741,1.394883,0.007913,-0.0061028,322.3592539,8
R3,0.4198256,0.4670919,1.392956,0.0065534,-0.0083822,308.0191277,7
R3,0.4271969,0.4586534,1.391829,0.0073713,-0.0084385,311.1382537,7
R3,0.4325699,0.4479689,1.39034,0.005373,-0.0106845,296.6968171,7
R3,0.4453813,0.3351209,1.391961,0.0128114,-0.112848,276.4769401,7
R3,0.4497831,0.3191629,1.390292,0.0044018,-0.015958,285.4208037,7
R3,0.4537595,0.3107581,1.390414,0.0039764,-0.0084048,295.3193275,7
R3,0.459559,0.3035454,1.390217,0.0057995,-0.0072127,308.8016419,7
R3,0.4603241,0.2937981,1.389591,0.0007651,-0.0097473,274.4881457,7
R3,0.469277,0.2857757,1.388994,0.0089529,-0.0080224,318.1375246,8
R3,0.4729485,0.2779135,1.38933,0.0036715,-0.0078622,295.0316928,7
R3,0.5061432,0.2351355,1.383523,0.0331947,-0.042778,307.8106035,7
R3,0.5133058,0.201578,1.376701,0.0071626,-0.0335575,282.0485629,7
R3,0.5135069,0.195174,1.376437,0.0002011,-0.006404,271.7986253,7
R3,0.5147303,0.190496,1.377744,0.0012234,-0.004678,284.6558693,7
R4,-0.04640356,0.3184603,1.361749,-0.56113386,0.1279643,167.1536149,4
R4,-0.04651586,0.3206381,1.361035,-0.0001123,0.0021778,92.95188819,3
R4,-0.04653431,0.3231845,1.363542,-1.85E-05,0.0025464,90.41513063,3
R4,-0.0472245,0.3262837,1.36388,-0.00069019,0.0030992,102.5548591,3
R4,-0.04751486,0.3301998,1.365707,-0.00029036,0.0039161,94.2404475,3
R4,-0.04717858,0.3333104,1.365512,0.00033628,0.0031106,83.82984459,2
R4,-0.03316692,0.3714427,1.378546,0.01401166,0.0381323,69.82421489,2
R4,-0.03082313,0.3737129,1.380847,0.00234379,0.0022702,44.08624879,2
R4,-0.01881465,0.3835633,1.383285,0.01200848,0.0098504,39.36158366,1
R4,-0.0114004,0.3954544,1.381731,0.00741425,0.0118911,58.05594317,2
R4,-0.005222308,0.4027395,1.38328,0.006178092,0.0072851,49.70055854,2
R4,0.003098863,0.4122055,1.382347,0.008321171,0.009466,48.68262717,2
R4,0.01040133,0.4195852,1.383939,0.007302467,0.0073797,45.30139176,2
R4,0.01661845,0.4242869,1.385579,0.00621712,0.0047017,37.09841165,1
R4,0.0607587,0.4622457,1.391822,0.04414025,0.0379588,40.69417671,1
R4,0.06656031,0.4646441,1.393013,0.00580161,0.0023984,22.46032296,1
R4,0.07546068,0.469872,1.396153,0.00890037,0.0052279,30.42912739,1
R4,0.08568107,0.475106,1.399024,0.01022039,0.005234,27.11759995,1
R4,0.1051082,0.4820815,1.405647,0.01942713,0.0069755,19.75116938,1
R4,0.1147493,0.4832357,1.407969,0.0096411,0.0011542,6.826767441,1
R4,0.1381813,0.4917372,1.411559,0.023432,0.0085015,19.94157191,1
R4,0.2142791,0.5062084,1.4155,0.0760978,0.0144712,10.76713618,1
R4,0.2203723,0.5035801,1.416076,0.0060932,-0.0026283,336.6670624,8
R4,0.2287408,0.5065541,1.416443,0.0083685,0.002974,19.56421065,1
R4,0.2396295,0.5039446,1.416734,0.0108887,-0.0026095,346.5231149,8
R4,0.2500663,0.5031359,1.41557,0.0104368,-0.0008087,355.5692647,8
R4,0.2612457,0.5023999,1.415373,0.0111794,-0.000736,356.2333465,8
R4,0.2724062,0.5008471,1.41441,0.0111605,-0.0015528,352.0790849,8
R4,0.282978,0.4945617,1.413076,0.0105718,-0.0062854,329.2666551,8
R4,0.32993,0.4631885,1.409423,0.046952,-0.0313732,326.2492605,8
R4,0.3382924,0.4595961,1.409372,0.0083624,-0.0035924,336.7521434,8
R4,0.3470839,0.4479701,1.409407,0.0087915,-0.011626,307.0963169,7
R4,0.3592789,0.3124657,1.412009,0.012195,-0.1355044,275.1425985,7
R4,0.373648,0.2748683,1.412171,0.0143691,-0.0375974,290.9160234,7
R4,0.3766961,0.2563132,1.409474,0.0030481,-0.0185551,279.3288245,7
R4,0.3818293,0.2379743,1.407206,0.0051332,-0.0183389,285.6373444,7
R4,0.3845704,0.2286477,1.405986,0.0027411,-0.0093266,286.3781316,7
R4,0.386778,0.2205617,1.404541,0.0022076,-0.008086,285.2704665,7
R4,0.3875733,0.2128075,1.404605,0.0007953,-0.0077542,275.8559948,7
R4,0.385699,0.1661074,1.403669,-0.0018743,-0.0467001,267.7016779,6
R5,-0.009345592,0.2409204,1.426239,-0.395044592,0.074813,169.2763988,4
R5,-0.008952727,0.2441874,1.42546,0.000392865,0.003267,83.14296377,2
R5,-0.008989638,0.2443486,1.426023,-3.69E-05,0.0001612,102.8970522,3
R5,-0.009043378,0.2477022,1.426411,-0.00005374,0.0033536,90.91806169,3
R5,-0.008755626,0.2469305,1.424644,0.000287752,-0.0007717,290.4495123,7
R5,-0.009257946,0.2463052,1.424839,-0.00050232,-0.0006253,231.2241674,6
R5,-0.000961543,0.3342635,1.425718,0.008296403,0.0879583,84.61168889,2
R5,-0.001016844,0.3353363,1.429746,-5.53E-05,0.0010728,92.95088196,3
R5,0.008346152,0.3420811,1.435334,0.009362996,0.0067448,35.76776017,1
R5,0.01267872,0.3475354,1.435371,0.004332568,0.0054543,51.538483,2
R5,0.01792889,0.3548841,1.436057,0.00525017,0.0073487,54.45665102,2
R5,0.02619145,0.3613502,1.434326,0.00826256,0.0064661,38.04596179,1
R5,0.03187332,0.3663671,1.433776,0.00568187,0.0050169,41.44342046,1
R5,0.03754257,0.3751418,1.435557,0.00566925,0.0087747,57.13388301,2
R5,0.04382391,0.3820461,1.434013,0.00628134,0.0069043,47.70494699,2
R5,0.04923022,0.3894892,1.43308,0.00540631,0.0074431,54.00714844,2
R5,0.1030148,0.442276,1.432647,0.05378458,0.0527868,44.46358101,2
R5,0.1080345,0.443839,1.433848,0.0050197,0.001563,17.29518821,1
R5,0.1150081,0.4473833,1.434015,0.0069736,0.0035443,26.94174384,1
R5,0.1226347,0.4511028,1.434668,0.0076266,0.0037195,25.99853519,1
R5,0.129366,0.4522789,1.43563,0.0067313,0.0011761,9.910738659,1
R5,0.2078452,0.4772169,1.455882,0.0784792,0.024938,17.62847302,1
R5,0.2522436,0.4840184,1.468093,0.0443984,0.0068015,8.709570614,1
R5,0.2592012,0.4853818,1.468085,0.0069576,0.0013634,11.08709889,1
R5,0.2676546,0.4851793,1.468194,0.0084534,-0.0002025,358.6277502,8
R5,0.2756538,0.4849133,1.468978,0.0079992,-0.000266,358.0954266,8
R5,0.2843713,0.4816719,1.467984,0.0087175,-0.0032414,339.6035175,8
R5,0.3097061,0.4724511,1.463985,0.0253348,-0.0092208,340.0006252,8
R5,0.3708798,0.4259848,1.464737,0.0611737,-0.0464663,322.7804341,8
R5,0.4127201,0.3476093,1.463467,0.0418403,-0.0783755,298.0952671,7
R5,0.3681535,0.2837704,1.467455,-0.0445666,-0.0638389,235.0807061,6
R5,0.4060584,0.227759,1.46392,0.0379049,-0.0560114,304.0876052,7
R5,0.4069105,0.2213787,1.462739,0.0008521,-0.0063803,277.6069367,7
R5,0.4089466,0.2134642,1.462072,0.0020361,-0.0079145,284.4271753,7
R5,0.4094177,0.2062028,1.461594,0.0004711,-0.0072614,273.7119931,7
R5,0.4083067,0.1999797,1.460752,-0.001111,-0.0062231,259.8777183,6
R5,0.4080279,0.1952449,1.460301,-0.0002788,-0.0047348,266.6301344,6
R5,0.4081872,0.191599,1.460443,0.0001593,-0.0036459,272.5018284,7
R5,0.4084682,0.1886004,1.460238,0.000281,-0.0029986,275.3535758,7
R5,0.4085253,0.1874967,1.460833,5.71E-05,-0.0011037,272.961561,7
R6,-0.01585918,0.283831,1.379466,-0.42438448,0.0963343,167.2107189,4
R6,-0.01607618,0.3103977,1.380134,-0.000217,0.0265667,90.46798841,3
R6,-0.003850778,0.3638805,1.390828,0.012225402,0.0534828,77.12422265,2
R6,-0.001762232,0.3675751,1.393561,0.002088546,0.0036946,60.52065772,2
R6,8.18E-06,0.3705648,1.3952,0.001770412,0.0029897,59.3672361,2
R6,0.001707473,0.3732517,1.39779,0.001699293,0.0026869,57.68925529,2
R6,0.004347316,0.3761018,1.399994,0.002639843,0.0028501,47.19327484,2
R6,0.005930094,0.379382,1.402213,0.001582778,0.0032802,64.24153606,2
R6,0.0102551,0.3794663,1.404157,0.004325006,8.43E-05,1.116627975,1
R6,0.01401137,0.3842785,1.406431,0.00375627,0.0048122,52.02538799,2
R6,0.0175408,0.3865822,1.407952,0.00352943,0.0023037,33.13295182,1
R6,0.02390871,0.387854,1.408261,0.00636791,0.0012718,11.29451464,1
R6,0.1125688,0.4677397,1.407557,0.08866009,0.0798857,42.01990727,1
R6,0.1162446,0.4696875,1.407435,0.0036758,0.0019478,27.91903831,1
R6,0.1210522,0.4705194,1.406511,0.0048076,0.0008319,9.817164416,1
R6,0.1266051,0.4744252,1.406274,0.0055529,0.0039058,35.12179516,1
R6,0.1339918,0.478155,1.405318,0.0073867,0.0037298,26.7907873,1
R6,0.1414448,0.4822825,1.404924,0.007453,0.0041275,28.97785225,1
R6,0.1567268,0.491224,1.406303,0.015282,0.0089415,30.33190768,1
R6,0.2112092,0.5172347,1.414988,0.0544824,0.0260107,25.52049649,1
R6,0.2242939,0.5216539,1.422199,0.0130847,0.0044192,18.66177822,1
R6,0.2362091,0.5252534,1.42402,0.0119152,0.0035995,16.80920572,1
R6,0.2542293,0.532643,1.427586,0.0180202,0.0073896,22.29721662,1
R6,0.2627076,0.5331441,1.42854,0.0084783,0.0005011,3.382465049,1
R6,0.2711587,0.5339312,1.429701,0.0084511,0.0007871,5.320938863,1
R6,0.2842935,0.5378461,1.431937,0.0131348,0.0039149,16.59697957,1
R6,0.2918966,0.537866,1.431735,0.0076031,1.99E-05,0.149962964,1
R6,0.2995141,0.536849,1.43155,0.0076175,-0.001017,352.3955032,8
R6,0.3071616,0.5367525,1.43114,0.0076475,-9.65E-05,359.2770514,8
R6,0.3124456,0.5344027,1.429911,0.005284,-0.0023498,336.0252381,8
R6,0.3196877,0.5307872,1.429319,0.0072421,-0.0036155,333.4700866,8
R6,0.359851,0.4984731,1.418397,0.0401633,-0.0323141,321.1809624,8
R6,0.399512,0.4460011,1.40383,0.039661,-0.052472,307.0838383,7
R6,0.4111492,0.4319981,1.39977,0.0116372,-0.014003,309.7282925,7
