Name,X,Y,Z,DeltaX,DeltaY,DeltaZ,Alpha,Kuant
R1,0.3839673,0.3045455,1.345019,0.003878027,-8.99E-05,0.001325607,358.6726926,8
R1,0.4363072,0.3056823,1.360691,0.05233997,0.001136839,0.01567185,1.244284941,1
R1,0.4365916,0.3063287,1.360907,0.000284374,0.000646412,0.000216365,66.25404453,2
R1,0.4388931,0.3067363,1.361921,0.002301544,0.000407606,0.001013875,10.04302092,1
R1,0.4392174,0.307143,1.36377,0.000324309,0.000406653,0.001848459,51.42734907,2
R1,0.4409553,0.3076832,1.36532,0.001737833,0.000540257,0.00154984,17.26939369,1
R1,0.4431326,0.3077283,1.364965,0.002177328,4.51E-05,-0.000354171,1.186385146,1
R1,0.4446383,0.3072277,1.365619,0.001505643,-0.000500619,0.000653744,341.6082701,8
R1,0.4452852,0.3041786,1.365513,0.000646919,-0.003049076,-0.000105858,281.9787453,7
R1,0.44884,0.3039482,1.36611,0.003554821,-0.000230461,0.000596285,356.2906676,8
R1,0.4519331,0.3035244,1.366458,0.003093153,-0.000423759,0.000348449,352.1990919,8
R1,0.4530365,0.3004174,1.367653,0.001103312,-0.003106982,0.001195073,289.5503221,7
R1,0.4666455,0.293238,1.372353,0.01360902,-0.007179469,0.004699469,332.1860116,8
R2,-0.0366283,0.2607828,1.454867,-0.0366283,0.2607828,1.454867,97.9951884,3
R2,-0.03564917,0.2752798,1.453999,0.000979129,0.01449695,-0.000868321,86.13609071,2
R2,-0.02973109,0.2810418,1.449059,0.005918084,0.005762041,-0.004940391,44.23459094,2
R2,-0.0284587,0.283169,1.448423,0.001272386,0.002127141,-0.000635147,59.11351992,2
R2,-0.02609748,0.283335,1.447609,0.002361221,0.000166059,-0.000814199,4.022838868,1
R2,-0.02313291,0.2854829,1.447088,0.002964569,0.002147853,-0.000521421,35.92361806,1
R2,-0.01926059,0.2850868,1.447017,0.003872326,-0.000396103,-7.09E-05,354.1594921,8
R2,-0.01713774,0.2852955,1.448632,0.002122849,0.000208736,0.001615047,5.615727571,1
R2,0.03551869,0.2947359,1.450461,0.05265643,0.009440422,0.001828671,10.16419724,1
R2,0.03917159,0.2949148,1.451587,0.003652897,0.000178844,0.001126885,2.80292971,1
R2,0.04452565,0.2949739,1.451657,0.005354065,5.91E-05,6.99E-05,0.632722287,1
R2,0.04926682,0.295214,1.452633,0.00474117,0.000240117,0.000975967,2.899276638,1
R2,0.05632801,0.2977968,1.452868,0.007061183,0.002582729,0.000235081,20.09071804,1
R2,0.06079659,0.297594,1.451807,0.004468583,-0.000202805,-0.001061678,357.4014378,8
R2,0.06583153,0.2964686,1.451651,0.005034938,-0.001125306,-0.000156164,347.4014738,8
R2,0.1441688,0.3073886,1.45542,0.07833728,0.01091996,0.003769398,7.935706732,1
R2,0.1466178,0.3077071,1.456143,0.002448961,0.000318468,0.000722885,7.409274258,1
R2,0.1506158,0.3052607,1.456989,0.003997982,-0.002446383,0.000846386,328.5373505,8
R2,0.1550944,0.3054759,1.457761,0.004478663,0.000215173,0.000771403,2.750602307,1
R2,0.1595899,0.3054082,1.459081,0.004495442,-6.77E-05,0.00132072,359.137829,8
R2,0.1633331,0.3060387,1.459838,0.003743261,0.000630468,0.000757098,9.560455816,1
R2,0.1752316,0.3070269,1.461309,0.0118985,0.000988215,0.001470685,4.747733598,1
R2,0.1796144,0.3070787,1.462317,0.004382774,5.18E-05,0.001008272,0.676711029,1
R2,0.2149335,0.3098101,1.461353,0.03531915,0.002731413,-0.000964284,4.422177774,1
R2,0.2195085,0.3089539,1.460213,0.004574999,-0.000856221,-0.001140118,349.3996018,8
R2,0.2610243,0.3034763,1.456382,0.04151578,-0.005477548,-0.00383091,352.4838683,8
R2,0.2655007,0.3012555,1.456979,0.004476368,-0.00222078,0.000597358,333.6134374,8
R2,0.2694879,0.2999008,1.456636,0.003987223,-0.001354724,-0.000343442,341.2339702,8
R2,0.2732476,0.2992285,1.4566,0.003759682,-0.000672281,-3.58E-05,349.861904,8
R2,0.2806078,0.298343,1.457652,0.00736019,-0.000885487,0.001051903,353.1398547,8
R2,0.284264,0.2979879,1.458065,0.003656209,-0.000355125,0.000413299,354.4523113,8
R2,0.3801808,0.3040996,1.465971,0.09591684,0.006111652,0.007905483,3.645857346,1
