Name,X,Y,Z,DeltaX,Deltay,Alpha,Kuant
R1,0.3686769,0.1996728,1.346133,-0.0006126,-0.0020734,253.5398697,6
R2,0.01801293,0.2956172,1.202518,-0.35066397,0.0959444,164.6979336,4
R2,0.02352717,0.3236587,1.196286,0.00551424,0.0280415,78.87498236,2
R2,0.02337233,0.3263957,1.199144,-0.00015484,0.002737,93.23793645,3
R2,0.0246432,0.3315145,1.200485,0.00127087,0.0051188,76.05681634,2
R2,0.02785308,0.3369428,1.200596,0.00320988,0.0054283,59.40318808,2
R2,0.03141471,0.3453934,1.199851,0.00356163,0.0084506,67.14629201,2
R2,0.0361226,0.3513961,1.198596,0.00470789,0.0060027,51.89307319,2
R2,0.05047083,0.388045,1.196817,0.01434823,0.0366489,68.61940521,2
R2,0.09902257,0.4732056,1.210159,0.04855174,0.0851606,60.31168145,2
R2,0.1046929,0.4769486,1.21073,0.00567033,0.003743,33.42890881,1
R2,0.1098981,0.4822631,1.211776,0.0052052,0.0053145,45.59528346,2
R2,0.1160046,0.4840973,1.213588,0.0061065,0.0018342,16.71861034,1
R2,0.1208398,0.489167,1.212988,0.0048352,0.0050697,46.35623286,2
R2,0.1259509,0.4942455,1.214936,0.0051111,0.0050785,44.81669192,2
R2,0.2281647,0.5357701,1.234234,0.1022138,0.0415246,22.10956562,1
R2,0.2335159,0.5368063,1.236486,0.0053512,0.0010362,10.95905634,1
R2,0.2419192,0.5368472,1.239939,0.0084033,4.09E-05,0.278864122,1
R2,0.2517367,0.5376241,1.242099,0.0098175,0.0007769,4.524626608,1
R2,0.2603584,0.5369253,1.244084,0.0086217,-0.0006988,355.3662317,8
R2,0.2693835,0.5360806,1.245085,0.0090251,-0.0008447,354.6530052,8
R2,0.2773202,0.5348898,1.245706,0.0079367,-0.0011908,351.4671516,8
R2,0.389409,0.4831175,1.256489,0.1120888,-0.0517723,335.2084238,8
R2,0.3940858,0.4759295,1.256281,0.0046768,-0.007188,303.0496363,7
R2,0.4026301,0.4614313,1.256438,0.0085443,-0.0144982,300.5123431,7
R2,0.4081176,0.4556043,1.257711,0.0054875,-0.005827,313.2813131,7
R2,0.4124152,0.448129,1.256807,0.0042976,-0.0074753,299.8948839,7
R2,0.4174429,0.4406154,1.257474,0.0050277,-0.0075136,303.7883253,7
R2,0.44169,0.3616941,1.255722,0.0242471,-0.0789213,287.0786007,7
R2,0.4440581,0.3564063,1.256052,0.0023681,-0.0052878,294.1248493,7
R2,0.4453098,0.3504046,1.255014,0.0012517,-0.0060017,281.7806021,7
R2,0.4457427,0.3447554,1.253758,0.0004329,-0.0056492,274.3820299,7
R2,0.4457192,0.3389179,1.253347,-2.35E-05,-0.0058375,269.7693459,7
R2,0.4481864,0.3335195,1.252437,0.0024672,-0.0053984,294.5615526,7
R2,0.447842,0.3278428,1.25086,-0.0003444,-0.0056767,266.5281749,6
R2,0.4471017,0.3207576,1.24921,-0.0007403,-0.0070852,264.0350711,6
R2,0.4485134,0.2901547,1.245222,0.0014117,-0.0306029,272.6411599,7
R2,0.4504103,0.2854683,1.244494,0.0018969,-0.0046864,292.0364771,7
R2,0.4503977,0.2800452,1.244067,-1.26E-05,-0.0054231,269.8668795,7
R2,0.4538672,0.2772378,1.242797,0.0034695,-0.0028074,321.0214073,8
R2,0.4539363,0.27232,1.242325,6.91E-05,-0.0049178,270.8050099,7
R3,0.003338056,0.306233,1.258687,-0.450598244,0.033913,175.69591,4
R3,0.05163176,0.3783224,1.265329,0.048293704,0.0720894,56.18131261,2
R3,0.05507833,0.3819379,1.266387,0.00344657,0.0036155,46.37029661,2
R3,0.05960786,0.3848571,1.265919,0.00452953,0.0029192,32.80104666,1
R3,0.06432156,0.3897593,1.265832,0.0047137,0.0049022,46.12302242,2
R3,0.06933849,0.3930512,1.264178,0.00501693,0.0032919,33.27121332,1
R3,0.07415392,0.3964972,1.26319,0.00481543,0.003446,35.58812568,1
R3,0.0988652,0.4192725,1.258512,0.02471128,0.0227753,42.6654017,1
R3,0.1034901,0.4238631,1.259085,0.0046249,0.0045906,44.78674666,2
R3,0.1444947,0.4509714,1.262566,0.0410046,0.0271083,33.46884528,1
R3,0.149045,0.4535447,1.26308,0.0045503,0.0025733,29.48916442,1
R3,0.1537166,0.4560665,1.263209,0.0046716,0.0025218,28.36084134,1
R3,0.159329,0.4570698,1.263826,0.0056124,0.0010033,10.1354126,1
R3,0.1665762,0.4602338,1.265177,0.0072472,0.003164,23.58523487,1
R3,0.173425,0.4621329,1.26651,0.0068488,0.0018991,15.49813296,1
R3,0.1820477,0.464272,1.268362,0.0086227,0.0021391,13.93253841,1
R3,0.1905638,0.4650348,1.27062,0.0085161,0.0007628,5.118410647,1
R3,0.2322416,0.4629881,1.285214,0.0416778,-0.0020467,357.1885958,8
R3,0.2402594,0.4617246,1.288695,0.0080178,-0.0012635,351.0445846,8
R3,0.2478636,0.459232,1.290994,0.0076042,-0.0024926,341.8512424,8
R3,0.2884284,0.447128,1.296608,0.0405648,-0.012104,343.3855922,8
R3,0.2928277,0.4443885,1.297025,0.0043993,-0.0027395,328.0889536,8
R3,0.2984785,0.4424131,1.298128,0.0056508,-0.0019754,340.7314549,8
R3,0.3047735,0.4403244,1.300184,0.006295,-0.0020887,341.6439999,8
R3,0.3113225,0.4382907,1.301786,0.006549,-0.0020337,342.7485522,8
R3,0.352102,0.4225477,1.307784,0.0407795,-0.015743,338.8908279,8
R3,0.3859833,0.376618,1.307881,0.0338813,-0.0459297,306.4153561,7
R3,0.387425,0.3704266,1.306866,0.0014417,-0.0061914,283.1080418,7
R3,0.3877209,0.3613037,1.305906,0.0002959,-0.0091229,271.8577294,7
R3,0.3973649,0.357449,1.306716,0.009644,-0.0038547,338.2134448,8
R3,0.3863557,0.3406023,1.30342,-0.0110092,-0.0168467,236.8356663,6
R3,0.3885164,0.3349922,1.301583,0.0021607,-0.0056101,291.0639232,7
