@relation wekafull2

@attribute F1 numeric
@attribute F2 numeric
@attribute F3 numeric
@attribute F4 numeric
@attribute F5 numeric
@attribute F6 numeric
@attribute F7 numeric
@attribute F8 numeric
@attribute F9 numeric
@attribute F10 numeric
@attribute F11 numeric
@attribute F12 numeric
@attribute F13 numeric
@attribute F14 numeric
@attribute F15 numeric
@attribute F16 numeric
@attribute F17 numeric
@attribute F18 numeric
@attribute F19 numeric
@attribute F20 numeric
@attribute F21 numeric
@attribute F22 numeric
@attribute F23 numeric
@attribute F24 numeric
@attribute F25 numeric
@attribute F26 numeric
@attribute F27 numeric
@attribute F28 numeric
@attribute F29 numeric
@attribute F30 numeric
@attribute F31 numeric
@attribute F32 numeric
@attribute F33 numeric
@attribute F34 numeric
@attribute F35 numeric
@attribute F36 numeric
@attribute F37 numeric
@attribute F38 numeric
@attribute F39 numeric
@attribute Label {berulang,gelombang,rotasi,lurus,kurva}

@data
1,1,1,8,8,7,7,7,7,7,7,6,7,6,6,6,6,6,5,5,5,4,4,3,3,3,3,3,2,2,2,2,2,2,1,1,8,8,8,rotasi
7,6,6,6,6,7,6,6,6,5,5,5,5,5,5,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,1,1,1,1,rotasi
7,7,6,6,6,6,6,5,4,4,4,4,3,4,3,3,3,3,3,3,3,3,3,3,2,1,1,1,1,1,1,8,1,1,1,1,1,8,1,rotasi
8,8,8,8,7,7,6,7,6,6,5,4,4,4,4,4,4,4,4,4,3,3,3,3,3,3,2,2,2,1,1,1,1,8,1,8,8,8,6,rotasi
7,7,7,6,6,6,6,5,5,4,4,4,4,4,4,4,4,4,4,4,3,3,3,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,rotasi
2,2,1,1,8,8,8,7,7,7,7,7,7,6,7,7,6,6,6,6,6,6,6,5,4,4,4,4,4,4,4,4,4,3,4,3,1,1,1,rotasi
7,6,6,6,6,6,6,6,5,5,5,4,5,4,3,3,3,3,3,3,3,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,rotasi
6,6,6,6,6,6,6,6,5,5,5,4,4,4,4,4,4,4,5,4,4,4,3,3,3,3,3,3,2,3,3,3,3,3,2,2,1,1,1,rotasi
8,1,8,1,8,1,1,8,8,8,8,8,8,1,8,8,1,8,1,1,1,8,8,8,8,1,1,8,8,8,8,8,8,1,8,8,7,8,7,lurus
7,2,1,7,8,1,1,8,1,1,8,1,8,8,1,1,8,1,8,1,8,8,1,8,8,8,8,8,1,8,8,8,8,8,1,8,8,8,8,lurus
1,1,1,1,1,1,1,1,1,1,1,8,8,8,8,1,1,8,8,8,1,8,1,8,8,1,8,8,8,1,8,8,8,8,8,8,8,8,8,lurus
6,1,1,8,8,8,1,8,8,8,1,1,8,1,8,1,8,8,8,8,8,1,8,2,8,8,8,8,8,8,1,8,8,8,8,8,8,8,8,lurus
8,2,1,8,1,1,8,1,1,1,8,1,1,8,1,8,1,1,8,8,1,8,1,8,8,8,1,8,8,1,8,2,8,8,8,8,8,2,8,lurus
8,8,8,1,8,8,8,8,1,8,8,1,1,8,1,1,1,1,1,1,8,8,8,1,1,1,1,1,1,1,1,1,1,1,8,7,8,8,8,lurus
1,8,8,1,1,8,8,1,8,8,8,1,1,1,1,1,8,8,1,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,1,8,1,8,1,lurus
8,8,1,1,1,1,8,8,8,1,8,1,8,1,1,8,1,8,1,8,8,8,8,8,8,8,8,8,1,8,8,1,8,8,8,8,8,1,8,lurus
1,1,1,1,1,8,1,1,1,8,1,8,8,8,8,8,1,8,1,8,8,8,1,8,8,8,8,8,8,8,1,8,8,8,8,8,8,8,1,lurus
8,1,8,8,8,1,8,8,1,1,8,1,8,8,8,1,1,8,8,8,1,8,1,1,8,8,1,1,8,1,1,8,1,1,1,1,8,8,1,lurus
3,3,2,3,8,2,8,8,8,8,8,8,8,8,8,1,8,8,8,8,1,1,1,8,1,8,1,8,1,8,1,1,1,1,1,1,1,8,8,lurus
