-0.04338323,0.2740049,1.388036
-0.04535973,0.279712,1.386328
-0.04636747,0.283042,1.384393
-0.04650843,0.2886974,1.37954
-0.04741145,0.2924859,1.377688
-0.03564697,0.2999361,1.37722
-0.03317073,0.302621,1.377165
-0.03124128,0.3036116,1.377656
-0.02748798,0.3027569,1.377558
-0.02572583,0.3037529,1.378803
-0.02288407,0.3033522,1.378125
-0.02147718,0.3064328,1.378129
-0.01875966,0.3030072,1.378966
-0.01281453,0.3039404,1.37828
0.02673118,0.2980506,1.374853
0.03124999,0.3017915,1.374322
0.03491969,0.3022909,1.375315
0.04092007,0.300484,1.375033
0.04423677,0.3026063,1.375565
0.04975258,0.302465,1.375919
0.05452836,0.3021924,1.375906
0.05968753,0.3029302,1.376382
0.09413242,0.3081498,1.377706
0.1222843,0.3091085,1.382344
0.1286333,0.3090113,1.382035
0.1338994,0.3097714,1.383433
0.1419717,0.3086032,1.383542
0.1475636,0.30957,1.384934
0.1546327,0.3101306,1.386418
0.1671045,0.3090422,1.386869
0.1741788,0.3096263,1.38832
0.1847578,0.3073033,1.388606
0.1900714,0.3058423,1.387956
0.1958893,0.3042556,1.386324
0.2099633,0.2985942,1.383997
0.2416032,0.2855763,1.385329
0.2777973,0.284032,1.388655
0.3221284,0.2281225,1.414674
0.3867982,0.2409408,1.419373
0.3559757,0.2224299,1.428171
