@relation dataTraining_tahap2

@attribute L1 numeric
@attribute L2 numeric
@attribute L3 numeric
@attribute L4 numeric
@attribute L5 numeric
@attribute L6 numeric
@attribute L7 numeric
@attribute L8 numeric
@attribute L9 numeric
@attribute L10 numeric
@attribute L11 numeric
@attribute L12 numeric
@attribute L13 numeric
@attribute L14 numeric
@attribute L15 numeric
@attribute L16 numeric
@attribute L17 numeric
@attribute L18 numeric
@attribute R19 numeric
@attribute R20 numeric
@attribute R21 numeric
@attribute R22 numeric
@attribute R23 numeric
@attribute R24 numeric
@attribute R25 numeric
@attribute R26 numeric
@attribute R27 numeric
@attribute R28 numeric
@attribute R29 numeric
@attribute R30 numeric
@attribute R31 numeric
@attribute R32 numeric
@attribute R33 numeric
@attribute R34 numeric
@attribute R35 numeric
@attribute R36 numeric
@attribute SKIR {Perut,Dada,Kepala}
@attribute SKAN {Kepala,Perut,Dada}
@attribute Label {Topeng,Badan,Awan,Anak,Maklum,Bola,Besar,Rujuk,Bingkai,Bingung,Sempit,Kijang,Samping,Lengkung,Gelombang,Selubung,Sama,Faedah}

@data
6,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,5,5,2,2,2,1,1,1,1,8,1,8,8,8,8,8,8,7,Perut,Perut,Anak
7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,4,7,3,2,2,3,2,1,1,1,1,1,8,8,8,8,7,7,Perut,Perut,Anak
7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,2,8,4,2,2,1,1,1,8,8,8,8,8,8,7,7,7,7,Perut,Perut,Anak
7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,4,2,5,2,1,2,1,1,8,1,8,8,8,7,7,7,4,3,Perut,Perut,Anak
7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,2,2,2,1,1,1,1,1,8,1,1,1,8,8,8,7,7,7,Perut,Perut,Anak
7,7,7,7,7,8,7,7,7,7,6,7,7,7,7,7,7,7,8,2,3,4,2,2,1,1,1,1,8,8,8,8,8,8,7,7,Perut,Perut,Anak
7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,2,4,2,5,1,2,2,1,1,8,8,8,8,8,7,7,7,6,Perut,Perut,Anak
7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,4,5,2,1,1,1,1,1,1,8,8,8,8,8,7,7,7,6,Perut,Perut,Anak
7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,4,2,4,2,2,1,2,2,1,2,1,8,8,8,8,7,7,7,Perut,Perut,Anak
7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,8,7,5,6,3,2,3,1,1,8,8,8,8,8,8,8,8,7,Perut,Perut,Anak
7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,2,8,8,3,8,8,1,1,8,8,1,1,1,1,8,1,1,Perut,Kepala,Maklum
7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,8,1,8,1,2,2,1,8,7,1,1,1,8,1,1,1,8,1,Perut,Kepala,Maklum
7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,4,2,8,8,8,1,2,7,1,1,1,8,1,1,1,1,8,8,Perut,Kepala,Maklum
7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,8,3,8,8,2,8,8,1,8,1,8,1,1,8,8,1,8,8,Perut,Kepala,Maklum
7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,2,2,8,3,3,8,8,1,8,1,1,1,8,1,1,8,8,1,Perut,Kepala,Maklum
7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,5,1,1,8,8,8,8,1,1,1,8,8,8,1,1,1,1,8,Perut,Kepala,Maklum
7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,8,8,1,2,8,4,3,3,1,1,8,1,8,1,1,1,1,Perut,Kepala,Maklum
7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,3,6,7,8,8,8,8,8,2,8,8,8,1,1,1,1,1,1,Perut,Kepala,Maklum
7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,3,3,3,7,7,1,8,8,1,1,1,1,8,8,8,1,2,2,Perut,Kepala,Maklum
7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,3,1,1,3,1,8,1,1,8,2,1,8,8,1,1,1,1,1,Perut,Kepala,Maklum
7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,2,1,7,8,8,1,2,1,1,8,8,1,1,8,8,8,8,1,Perut,Kepala,Maklum
7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,2,8,1,1,1,1,1,3,1,1,1,3,8,1,8,8,8,8,Perut,Kepala,Maklum
7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,3,7,3,1,7,7,7,8,1,2,8,1,8,1,8,8,1,8,Perut,Kepala,Maklum
7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,3,1,3,2,1,1,1,3,1,8,1,8,1,1,7,8,1,1,Perut,Kepala,Maklum
7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,1,3,1,1,8,8,8,1,1,1,1,1,1,1,1,8,Perut,Kepala,Maklum
3,2,1,5,6,5,6,6,6,6,7,7,7,7,7,7,7,8,6,8,5,1,7,8,8,7,7,7,6,6,6,5,5,5,5,4,Perut,Perut,Bola
5,6,1,8,5,6,6,6,6,6,7,7,7,7,7,7,7,8,1,4,3,5,7,8,8,8,7,7,7,6,6,5,5,5,5,4,Perut,Perut,Bola
2,1,1,2,5,6,6,6,6,6,7,6,7,7,7,7,8,8,5,5,5,5,8,8,8,8,8,7,7,6,6,6,5,5,5,5,Perut,Perut,Bola
2,4,2,1,7,6,6,6,6,6,7,7,7,7,7,7,7,8,2,3,2,1,1,1,8,8,7,7,6,7,6,5,5,5,5,1,Perut,Perut,Bola
5,6,6,6,6,6,6,6,7,7,7,7,7,7,7,7,7,2,7,8,8,8,8,8,8,7,7,7,6,5,5,5,5,5,7,5,Perut,Perut,Bola
2,2,1,5,5,6,6,6,6,7,7,7,7,7,7,7,2,2,5,5,5,8,8,1,8,8,7,7,6,6,6,5,5,4,5,5,Perut,Perut,Bola
2,4,1,2,5,6,6,5,6,6,6,6,7,7,7,7,8,8,3,7,2,1,6,8,8,8,8,8,7,7,7,5,6,6,4,5,Perut,Perut,Bola
2,2,1,5,6,6,6,6,6,6,7,7,7,7,7,7,7,8,1,1,1,5,8,8,8,5,7,7,7,7,6,6,6,5,5,5,Perut,Perut,Bola
8,2,1,5,6,6,6,6,6,6,6,7,7,7,7,7,7,7,4,8,1,7,1,8,8,8,6,7,8,7,6,6,5,5,5,5,Perut,Perut,Bola
2,3,2,5,5,6,5,6,6,6,6,6,6,6,7,7,8,8,5,4,1,4,3,6,1,1,8,8,8,7,7,7,7,6,6,5,Perut,Perut,Bola
4,2,2,1,5,6,5,6,6,6,6,6,7,7,7,7,7,7,5,4,5,4,1,8,8,8,8,8,8,7,7,6,6,5,5,5,Perut,Perut,Bola
8,1,3,5,1,1,6,6,6,6,6,6,6,6,6,7,7,8,2,7,4,5,1,1,5,8,8,8,7,8,7,7,6,6,5,5,Perut,Perut,Bola
1,1,1,5,5,6,6,6,6,6,6,7,7,7,7,7,7,7,1,3,4,5,5,5,1,8,7,7,7,7,6,6,5,5,4,2,Perut,Perut,Bola
8,1,6,6,6,6,6,6,6,6,7,7,7,7,8,8,8,7,3,6,5,6,1,8,8,8,7,7,7,6,6,6,5,5,4,5,Perut,Perut,Bola
7,6,5,2,2,6,6,6,6,6,6,7,6,7,7,7,7,7,5,8,1,5,5,2,7,8,8,7,7,7,7,6,6,5,5,5,Perut,Perut,Bola
6,5,8,8,2,6,6,6,6,6,6,8,6,5,6,6,6,6,6,6,5,1,5,5,3,2,7,3,7,8,5,6,8,8,8,1,Perut,Perut,Besar
7,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,2,5,6,2,7,1,1,1,8,1,1,8,8,8,8,8,8,8,Perut,Perut,Besar
3,3,5,3,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,4,5,4,1,1,1,8,8,1,8,8,8,8,8,8,8,3,Perut,Perut,Besar
