2,2,3,4,4,4,4,3,3,3,3,4,5,5,5,5,5,5,3,2,8,2,8,1,1,8,1,1,1,1,8,8,8,8,8,8,Kepala,Kepala
3,4,3,5,6,3,3,4,5,6,3,4,3,3,3,6,6,6,2,7,1,1,7,1,8,2,8,8,1,8,1,1,3,1,1,1,Kepala,Kepala
2,3,4,5,5,3,3,4,3,3,3,3,3,3,3,3,3,4,2,1,8,2,7,8,3,8,2,1,1,1,8,1,1,8,1,1,Kepala,Kepala
3,4,5,3,4,6,6,3,3,5,4,5,5,4,4,5,6,5,2,8,2,3,1,1,8,7,8,1,1,1,8,1,1,8,1,1,Kepala,Kepala
3,3,6,6,6,4,5,4,3,3,6,6,6,5,5,5,6,7,6,1,1,1,1,1,8,8,1,1,8,1,8,1,1,1,8,5,Kepala,Kepala
2,3,6,5,5,3,3,3,3,3,3,4,3,4,3,4,4,4,8,2,1,8,8,8,1,8,1,1,1,1,1,1,8,1,8,8,Kepala,Kepala
3,3,4,4,3,3,3,3,3,4,3,3,3,3,4,5,5,5,8,3,2,1,8,1,8,8,8,8,8,8,8,1,1,8,8,2,Kepala,Kepala
3,3,3,3,3,4,4,4,5,5,5,5,5,4,4,3,3,4,3,8,1,1,1,8,8,8,8,8,8,1,8,1,8,8,8,8,Kepala,Kepala
2,2,3,3,3,3,3,4,4,3,3,4,4,4,4,4,4,4,8,1,8,8,7,1,1,8,1,8,1,8,8,8,1,8,8,8,Kepala,Kepala
3,3,4,3,4,4,3,3,5,5,5,3,5,4,4,4,4,4,8,1,8,8,8,8,8,1,1,1,8,8,8,1,8,1,8,1,Kepala,Kepala
3,3,3,4,3,3,3,3,3,3,3,3,3,4,6,6,5,5,7,1,1,8,1,1,2,8,8,8,1,1,1,8,8,8,8,8,Kepala,Kepala
6,6,5,3,4,3,4,3,3,4,4,5,6,4,3,4,3,3,7,2,8,8,1,8,8,8,7,8,8,8,1,8,8,8,1,8,Kepala,Kepala
3,3,3,3,3,3,3,3,3,3,4,5,6,6,5,5,5,6,5,1,1,8,1,1,1,1,1,8,1,8,8,8,8,1,8,1,Kepala,Kepala
2,3,3,3,4,3,3,5,3,3,3,3,3,3,4,5,5,5,5,6,1,3,8,8,8,7,2,8,8,8,1,8,1,8,8,1,Kepala,Kepala
4,3,3,3,3,3,4,3,3,5,5,5,5,4,5,5,3,4,1,8,1,8,1,8,1,2,8,8,8,8,1,1,8,8,8,1,Kepala,Kepala
