7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,3,3,8,1,7,2,8,8,7,4,5,5,4,5,5,5,5,5,Perut,Kepala
7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,6,7,6,8,8,1,1,7,1,4,4,5,5,4,5,4,5,7,6,4,Perut,Kepala
7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,6,2,8,8,1,8,8,7,8,8,5,4,4,5,5,4,5,4,Perut,Kepala
7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,6,1,8,2,8,8,1,1,1,2,4,4,5,4,5,4,5,5,Perut,Kepala
7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,1,8,8,1,8,7,8,1,4,4,6,3,5,5,4,6,4,6,Perut,Kepala
7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,3,2,2,7,1,8,1,8,4,4,3,5,6,6,4,6,6,5,Perut,Kepala
7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,3,6,7,7,7,8,8,1,8,4,5,4,5,5,4,5,5,6,Perut,Kepala
7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,6,3,7,2,8,1,7,1,8,1,5,5,5,5,5,5,5,5,5,Perut,Kepala
7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,6,2,8,3,2,7,1,4,4,3,5,3,3,5,5,6,5,3,Perut,Kepala
7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,6,1,2,8,1,2,8,1,4,4,6,5,5,5,5,5,5,Perut,Kepala
7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,1,7,8,2,3,8,8,6,4,4,6,5,5,5,4,5,5,5,Perut,Kepala
7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,1,2,8,1,8,8,8,4,5,4,4,4,4,5,5,5,5,Perut,Kepala
7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,2,8,8,8,1,2,3,7,7,4,4,6,6,4,5,4,5,4,Perut,Kepala
7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,1,8,1,8,1,8,8,8,5,3,5,4,4,5,4,4,5,5,Perut,Kepala
7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,8,8,8,8,8,1,5,4,4,4,5,4,5,5,4,5,5,Perut,Kepala
