2,2,3,7,6,6,5,7,7,6,8,4,6,6,6,5,6,6,4,8,4,7,4,7,7,7,7,7,7,6,6,7,4,4,7,4,Kepala,Kepala
2,2,7,7,8,1,3,8,1,7,7,2,4,6,6,6,6,7,6,7,7,6,7,7,6,7,6,6,6,7,6,7,7,7,6,7,Kepala,Kepala
2,5,8,8,7,7,6,6,7,7,6,7,7,7,7,6,7,7,2,4,7,7,6,6,7,7,7,7,5,6,7,7,6,7,6,7,Kepala,Kepala
7,8,6,6,6,7,8,7,1,2,5,2,3,7,5,6,3,6,4,8,4,7,5,7,7,8,6,7,7,7,7,6,7,7,7,7,Kepala,Kepala
7,7,7,7,7,7,6,6,2,2,3,3,2,3,5,2,3,3,8,6,5,5,8,8,6,8,5,6,6,7,7,6,6,5,6,7,Kepala,Kepala
7,6,7,7,6,6,6,7,7,7,7,6,3,6,2,7,7,7,4,5,7,7,7,7,8,7,5,4,8,7,8,7,7,7,7,7,Kepala,Kepala
6,7,8,3,6,3,6,7,7,6,7,7,7,6,7,6,6,7,7,7,5,6,7,5,8,6,6,7,6,6,7,7,6,7,6,7,Kepala,Kepala
7,7,7,6,1,2,2,2,3,2,7,1,3,3,3,3,3,6,2,7,7,7,7,7,6,7,6,5,7,7,7,6,7,7,7,7,Kepala,Kepala
6,7,6,8,5,6,3,2,2,5,5,8,2,3,2,7,7,6,5,8,4,7,4,7,8,6,6,8,7,7,7,7,4,6,7,7,Kepala,Kepala
7,7,1,5,3,3,2,2,5,7,8,6,6,3,3,5,5,6,1,7,4,8,7,6,5,8,7,6,6,7,6,7,7,7,6,5,Kepala,Kepala
7,6,7,7,1,2,2,3,3,2,2,3,3,2,4,7,6,7,4,6,7,6,7,4,7,5,7,7,7,6,7,6,6,6,7,7,Kepala,Kepala
8,7,1,6,3,7,7,3,2,2,3,4,5,3,3,2,3,3,7,5,8,7,4,4,7,6,7,5,5,6,7,5,5,7,7,7,Kepala,Kepala
7,6,7,7,7,7,7,7,7,7,7,7,7,2,7,8,6,8,7,8,5,5,4,7,8,7,7,6,8,4,4,7,6,6,6,6,Kepala,Kepala
7,7,7,7,7,1,6,7,6,7,2,8,6,7,7,5,6,6,6,6,5,6,5,4,6,4,6,7,4,6,6,6,6,7,7,6,Kepala,Kepala
8,7,7,6,8,7,7,7,7,7,7,6,3,7,6,7,4,5,7,4,7,6,6,6,6,7,7,7,5,6,6,6,6,7,6,6,Kepala,Kepala
