Name,X,Y,Z,DeltaX,DeltaY,DeltaZ,Alpha,Kuant
R1,0.005785772,0.136086,1.483064,-0.004258446,0.02237453,0.000893712,100.7759719,3
R1,0.001499861,0.1551641,1.484552,-0.004285911,0.01907815,0.001488209,102.661308,3
R1,-0.007201511,0.1926654,1.49006,-0.008701373,0.03750126,0.005507827,103.0631178,3
R1,-0.008574254,0.2040224,1.496575,-0.001372743,0.01135705,0.006514788,96.89198944,3
R1,0.01005827,0.3841059,1.514815,0.01863253,0.1800835,0.01824009,84.09285079,2
R1,0.01618241,0.3893096,1.520311,0.006124137,0.005203724,0.005496383,40.3547995,1
R1,0.02745907,0.4003889,1.523595,0.01127666,0.01107925,0.003283739,44.49407267,2
R1,0.04000819,0.4160739,1.524642,0.01254912,0.01568502,0.001047254,51.33773281,2
R1,0.05640902,0.4296261,1.526954,0.01640083,0.01355225,0.00231123,39.56742943,1
R1,0.07156881,0.4414751,1.528964,0.01515979,0.01184896,0.002010226,38.01134307,1
R1,0.08897108,0.4530599,1.528893,0.01740227,0.01158479,-7.14E-05,33.65193186,1
R1,0.1059183,0.4622065,1.532006,0.01694725,0.009146571,0.003113747,28.35610354,1
R1,0.1251489,0.4732415,1.531218,0.01923054,0.01103503,-0.000787973,29.84842802,1
R1,0.1424602,0.4783502,1.533658,0.0173113,0.005108714,0.002439618,16.44178473,1
R2,0.3120212,0.4726082,1.476736,0.3120212,0.4726082,1.476736,56.56676277,2
R2,0.3173828,0.4758903,1.474318,0.005361646,0.00328207,-0.002417445,31.47240554,1
R2,0.3235976,0.4792094,1.472079,0.006214768,0.003319085,-0.002239347,28.10507841,1
R2,0.3385625,0.4812883,1.467568,0.01496491,0.002078921,-0.004510641,7.908895355,1
R2,0.3454559,0.4784129,1.465194,0.006893396,-0.002875358,-0.002374172,337.3581155,8
R2,0.4031352,0.4491877,1.451374,0.05767927,-0.02922523,-0.01381981,333.1293439,8
R2,0.4931014,0.2896988,1.440934,0.08996624,-0.1594889,-0.01043999,299.4269502,7
R2,0.495488,0.2672412,1.441705,0.0023866,-0.02245754,0.000770807,276.0661495,7
R2,0.5025747,0.2439145,1.441141,0.007086754,-0.02332677,-0.00056386,286.8989642,7
R2,0.5168964,0.2273088,1.438064,0.01432168,-0.01660572,-0.003077269,310.7762789,7
R2,0.5283237,0.1848103,1.436891,0.01142728,-0.04249848,-0.001173377,285.0501102,7
R2,0.5322317,0.1628206,1.437869,0.003907979,-0.02198969,0.000977874,280.0773164,7
R2,0.5308403,0.1410368,1.438358,-0.001391411,-0.02178378,0.000489831,266.3452704,6
R2,0.5305492,0.1220662,1.438361,-0.00029105,-0.01897056,2.62E-06,269.1210275,7
R2,0.498501,0.04021442,1.440095,-0.0320482,-0.08185181,0.001734257,248.6177047,6
R2,0.4950425,0.03001066,1.438894,-0.00345856,-0.01020376,-0.00120163,251.2759331,6
R2,0.4363924,-0.04072097,1.434752,-0.05865011,-0.07073162,-0.004141212,230.3347411,6
R2,0.4243454,-0.05303372,1.433883,-0.01204696,-0.01231275,-0.00086987,225.6251323,6
R2,0.4115792,-0.06845341,1.432372,-0.01276624,-0.01541969,-0.001510978,230.3780284,6
R2,0.3982745,-0.08083587,1.431772,-0.01330462,-0.01238246,-0.000599265,222.9439782,5
R2,0.3816846,-0.08962918,1.431612,-0.01658997,-0.008793309,-0.000160337,207.9252746,5
R2,0.3646556,-0.09536088,1.429811,-0.01702899,-0.005731702,-0.001801491,198.6024592,5
R2,0.1237294,-0.04220336,1.439415,-0.2409262,0.05315752,0.009604216,167.5577088,4
R2,0.1030571,-0.02881148,1.441517,-0.02067225,0.01339188,0.002102017,147.0640596,4
R2,0.08920768,-0.01027949,1.440512,-0.01384945,0.018532,-0.001004815,126.7717271,3
R2,0.07710738,0.01011603,1.440857,-0.01210029,0.02039552,0.000344873,120.6798831,3
R2,0.06335485,0.03161154,1.440645,-0.01375253,0.0214955,-0.000211716,122.6105628,3
R2,0.04724107,0.05636025,1.43911,-0.01611378,0.02474871,-0.001534939,123.0679805,3
R2,0.006949572,0.3524197,1.471962,-0.0402915,0.2960595,0.03285146,97.74991837,3
R2,0.009602462,0.3645715,1.475655,0.00265289,0.01215181,0.003693104,77.68484619,2
R2,0.01517194,0.3744355,1.479308,0.005569478,0.009863973,0.003653526,60.54969909,2
R2,0.02022298,0.3838354,1.483786,0.005051042,0.009399951,0.004477262,61.74874125,2
R2,0.02549761,0.3944917,1.488284,0.005274627,0.01065624,0.004498005,63.66550468,2
R2,0.03317953,0.4068376,1.49088,0.007681923,0.01234591,0.002596974,58.10912976,2
R2,0.05138434,0.4336122,1.496167,0.0182048,0.02677462,0.005286217,55.78713911,2
R2,0.2802307,0.5185806,1.500882,0.2288463,0.08496842,0.004715443,20.36947489,1
R2,0.2965112,0.5189315,1.499905,0.0162805,0.000350893,-0.000977159,1.234700846,1
R2,0.3127164,0.5183942,1.50035,0.01620525,-0.000537336,0.000445366,358.1008745,8
R2,0.3262732,0.5157028,1.500693,0.01355681,-0.002691388,0.00034225,348.7712607,8
R2,0.3394412,0.5154765,1.502472,0.01316792,-0.000226259,0.001779318,359.015606,8
R3,0.4961932,0.3667285,1.44657,0.008517295,-0.01326537,-0.00114429,302.7032995,7
R3,0.5123424,0.2024338,1.428272,0.01614922,-0.1642947,-0.01829791,275.6138108,7
R3,0.5112434,0.1642648,1.420521,-0.00109899,-0.03816898,-0.007751703,268.3507524,6
R3,0.5033073,0.1434068,1.417318,-0.00793612,-0.02085797,-0.003202081,249.1689901,6
R3,0.4980758,0.1251066,1.413868,-0.0052315,-0.01830024,-0.003450513,254.0463259,6
R3,0.4914446,0.1054504,1.410642,-0.006631225,-0.01965618,-0.003226161,251.3576205,6
R3,0.4984691,0.09027772,1.402934,0.007024527,-0.01517268,-0.007707715,294.8428186,7
R3,0.4871636,0.07470084,1.399045,-0.01130548,-0.01557688,-0.003888965,234.0283839,6
R3,0.4808189,0.05979231,1.396572,-0.006344676,-0.01490853,-0.002472758,246.9466795,6
R3,0.4743854,0.0469097,1.391602,-0.006433547,-0.01288261,-0.004969954,243.4625586,6
R3,0.334531,-0.06106823,1.379104,-0.1398543,-0.1079779,-0.01249802,217.6708051,5
R3,0.3184339,-0.06684115,1.380428,-0.0160971,-0.005772922,0.0013237,199.7294166,5
R3,0.3033552,-0.07146223,1.381736,-0.01507875,-0.004621081,0.001308203,197.0383713,5
